Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
21,tt0062622,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 1 Oscar Nominations: 4 BAFTA Awards: 3 BAFTA Nominations: 5 Golden Globes: 0 Golden Globe Nominations: 0,2001: A Space Odyssey,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,Movie,8.3,149,1968,"['Adventure', 'Sci-Fi']",748463,1968-05-12,Stanley Kubrick,5.0,5.0,5.0,1.0,4.0,3.0,5.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,tt0083866,2012-12-21,2017-03-26,***** Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 4 Oscar Nominations: 9 BAFTA Awards: 1 BAFTA Nominations: 12 Golden Globes: 2 Golden Globe Nominations: 5,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,Movie,7.9,115,1982,"['Adventure', 'Family', 'Sci-Fi']",451601,1982-06-11,Steven Spielberg,4.8,4.9,4.9,4.0,9.0,1.0,12.0,2.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,tt0102926,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 5 Oscar Nominations: 7 BAFTA Awards: 2 BAFTA Nominations: 9 Golden Globes: 1 Golden Globe Nominations: 5,The Silence of the Lambs,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,Movie,8.6,118,1991,"['Crime', 'Drama', 'Horror', 'Thriller']",1621074,1991-02-14,Jonathan Demme,5.0,5.0,5.0,5.0,7.0,2.0,9.0,1.0,5.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24,tt0071315,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 11 BAFTA Awards: 3 BAFTA Nominations: 10 Golden Globes: 4 Golden Globe Nominations: 7,Chinatown,Chinatown,https://www.imdb.com/title/tt0071315/,Movie,8.1,130,1974,"['Drama', 'Mystery', 'Thriller']",362830,1974-06-20,Roman Polanski,4.8,4.8,4.8,1.0,11.0,3.0,10.0,4.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25,tt0050212,2012-12-21,2017-03-26,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 7 Oscar Nominations: 8 BAFTA Awards: 4 BAFTA Nominations: 4 Golden Globes: 3 Golden Globe Nominations: 4,The Bridge on the River Kwai,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,Movie,8.1,161,1957,"['Adventure', 'Drama', 'War']",240447,1957-12-14,David Lean,4.8,4.9,4.9,7.0,8.0,4.0,4.0,3.0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,tt0045152,2012-12-21,2017-03-28,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 2 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 1 Golden Globe Nominations: 2,Singin' in the Rain,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,Movie,8.3,103,1952,"['Comedy', 'Musical', 'Romance']",270755,1952-04-10,"Stanley Donen, Gene Kelly",5.0,5.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,tt0038650,2013-04-06,2017-03-28,***** Actors: 5 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 0 Oscar Nominations: 5 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 1 Golden Globe Nominations: 1,It's a Wonderful Life,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,Movie,8.6,130,1946,"['Drama', 'Family', 'Fantasy', 'Romance']",524675,1947-01-07,Frank Capra,5.0,4.9,4.9,0.0,5.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
28,tt0057012,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 3 BAFTA Nominations: 6 Golden Globes: 0 Golden Globe Nominations: 0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,Movie,8.3,95,1964,"['Comedy', 'War']",535451,1964-01-29,Stanley Kubrick,5.0,5.0,5.0,0.0,4.0,3.0,6.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,tt0053291,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 1 Oscar Nominations: 6 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 3 Golden Globe Nominations: 3,Some Like It Hot,Some Like It Hot,https://www.imdb.com/title/tt0053291/,Movie,8.2,121,1959,"['Comedy', 'Music', 'Romance']",293233,1959-03-19,Billy Wilder,5.0,5.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30,tt0052618,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 11 Oscar Nominations: 12 BAFTA Awards: 1 BAFTA Nominations: 1 Golden Globes: 3 Golden Globe Nominations: 4,Ben-Hur,Ben-Hur,https://www.imdb.com/title/tt0052618/,Movie,8.1,212,1959,"['Adventure', 'Drama']",261395,1959-11-18,William Wyler,5.0,5.0,5.0,11.0,12.0,1.0,1.0,3.0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
