Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
89,tt0031971,2012-12-21,2017-03-28,Actors: 4.6 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 2 Oscar Nominations: 7 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Stagecoach,Stagecoach,https://www.imdb.com/title/tt0031971/,Movie,7.8,96,1939,"['Adventure', 'Drama', 'Western']",56127,1939-03-03,John Ford,4.6,4.8,4.7,2.0,7.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,tt0026752,2012-12-21,2017-03-28,Actors: 4.9 Stars Direction: 4.7 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 8 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Mutiny on the Bounty,Mutiny on the Bounty,https://www.imdb.com/title/tt0026752/,Movie,7.6,132,1935,"['Adventure', 'Biography', 'Drama', 'History', 'Romance']",25663,1936-01-12,Frank Lloyd,4.9,4.7,4.8,1.0,8.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
91,tt0032553,2015-11-04,2017-03-28,Actors: 5 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 5 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,The Great Dictator,The Great Dictator,https://www.imdb.com/title/tt0032553/,Movie,8.4,125,1940,"['Comedy', 'Drama', 'War']",247530,1941-03-07,Charles Chaplin,5.0,4.9,4.8,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,tt0036775,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 7 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Double Indemnity,Double Indemnity,https://www.imdb.com/title/tt0036775/,Movie,8.3,107,1944,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']",173686,1944-07-06,Billy Wilder,4.8,4.8,4.8,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
93,tt0033870,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.7 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 3 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,The Maltese Falcon,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,Movie,7.9,100,1941,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Romance']",170425,1941-10-18,John Huston,4.7,4.7,4.8,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
94,tt0032145,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 8 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Wuthering Heights,Wuthering Heights,https://www.imdb.com/title/tt0032145/,Movie,7.5,104,1939,"['Drama', 'Romance']",20519,1939-04-07,William Wyler,4.8,4.9,4.8,1.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,tt0075314,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 2 BAFTA Nominations: 6 Golden Globes: 0 Golden Globe Nominations: 2,Taxi Driver,Taxi Driver,https://www.imdb.com/title/tt0075314/,Movie,8.2,114,1976,"['Crime', 'Drama']",970398,1976-02-09,Martin Scorsese,5.0,5.0,4.8,0.0,4.0,2.0,6.0,0.0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,tt0047396,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.9 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 0 Golden Globe Nominations: 0,Rear Window,Rear Window,https://www.imdb.com/title/tt0047396/,Movie,8.5,112,1954,"['Drama', 'Mystery', 'Thriller']",542760,1954-09-01,Alfred Hitchcock,4.8,5.0,4.9,0.0,4.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
97,tt0041959,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 3 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 0 Golden Globe Nominations: 0,The Third Man,The Third Man,https://www.imdb.com/title/tt0041959/,Movie,8.1,104,1949,"['Drama', 'Film-Noir', 'Mystery', 'Thriller']",188673,1950-02-01,Carol Reed,4.8,4.9,4.8,1.0,3.0,1.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
98,tt0048545,2012-12-21,2017-03-28,***** Actors: 4.7 Stars Direction: 4.7 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 3 BAFTA Awards: 0 BAFTA Nominations: 2 Golden Globes: 0 Golden Globe Nominations: 0,Rebel Without a Cause,Rebel Without a Cause,https://www.imdb.com/title/tt0048545/,Movie,7.6,111,1955,['Drama'],100422,1955-10-27,Nicholas Ray,4.7,4.7,4.8,0.0,3.0,0.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,tt0053125,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 3 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,North by Northwest,North by Northwest,https://www.imdb.com/title/tt0053125/,Movie,8.3,136,1959,"['Adventure', 'Drama', 'Mystery', 'Thriller']",358758,1959-12-18,Alfred Hitchcock,4.8,4.9,4.8,0.0,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100,tt0035575,2013-04-06,2017-03-28,Actors: 4.6 Stars Direction: 4.7 Stars Screenplay: 4.6 StarsOscars: 3 Oscar Nominations: 8 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,Yankee Doodle Dandy,Yankee Doodle Dandy,https://www.imdb.com/title/tt0035575/,Movie,7.6,126,1942,"['Biography', 'Drama', 'Family', 'Music', 'Musical']",17413,1942-06-06,Michael Curtiz,4.6,4.7,4.6,3.0,8.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
